Fiscal Year,Region,Country,Project ID,Project Name,URL,TTL,Lending Instrument,Sector Board,Product Line,IDA Education Commitments (US$M),IBRD Education Commitments (US$M),Other Financing for Education,Total Commitments for Education (US$M),Education as % of Total Commitment
FY15,Africa,Burkina Faso,P148062,Education Access and Quality Improvement Project (EAQIP),http://www.worldbank.org/projects/P148062?lang=en,"Ouedraogo,Adama",IPF,Education,IBRD/IDA,50,0,0,50,100%
FY15,Africa,"Congo, Democratic Republic of",P149233,Quality and Relevance of Secondary and Tertiary Education Project,http://www.worldbank.org/projects/P149233?lang=en,"Pham,Dung-Kim",IPF,Education,IBRD/IDA,200,0,0,200,100%
FY15,Africa,Cote d'Ivoire,P151844,Youth Employment and Skills Development - Additional Financing,http://www.worldbank.org/projects/P151844?lang=en,"Kamil,Hamoud Abdel Wedoud",IPF,Education,IBRD/IDA,40,0,0,40,80%
FY15,Africa,Ghana,P150856,Making the Budget Work for Ghana,http://www.worldbank.org/projects/P150856?lang=en,"Kwawukume,Smile",IPF,Governance,Recipient Executed Activities,0,0,0.43,0.43,50%
FY15,Africa,Guinea,P146474,Stepping Up Skills Project,http://www.worldbank.org/projects/P146474?lang=en,"Cloutier,Marie-Helene",IPF,Education,IBRD/IDA,19.2,0,0,19.2,96%
FY15,Africa,Kenya,P146797,Kenya GPE Primary Education Development Project,http://www.worldbank.org/projects/P146797?lang=en,"Jena,Nalin",IPF,Education,Recipient Executed Activities,0,0,88.4,88.4,100%
FY15,Africa,Liberia,P146619,Poverty Reduction Support Credit II,http://www.worldbank.org/projects/P146619?lang=en,"Graham,Errol George",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,3,0,0,3,10%
FY15,Africa,Liberia,P147967,"Youth, Employment, Skills Project - Additional Financing",http://www.worldbank.org/projects/P147967?lang=en,"Namara,Suleiman",IPF,Social Protection & Labor,Recipient Executed Activities,0,0,0.85,0.85,25%
FY15,Africa,Malawi,P148617,Strengthening Safety Nets Systems Project - Additional Financing ,http://www.worldbank.org/projects/P148617?lang=en,"Drabek,Ivan",IPF,Social Protection & Labor,IBRD/IDA,3.75,0,0,3.75,5%
FY15,Africa,Malawi,P154803,Malawi Floods Emergency Recovery,http://www.worldbank.org/projects/P154803?lang=en,"Parvez,Ayaz",IPF,"Social, Urban, Rural and Resilience Global Practice",IBRD/IDA,16,0,0,16,20%
FY15,Africa,Mali,P151318,Higher Education Support Project,http://www.worldbank.org/projects/P151318?lang=en,"Kamano,Pierre Joseph",IPF,Education,IBRD/IDA,33,0,0,33,100%
FY15,Africa,Mali,P151440,TF Stat Capacity Building Supervision,http://www.worldbank.org/projects/P151440?lang=en,"Batana,Yele Maweki",IPF,Poverty and Equity,Recipient Executed Activities,0,0,0.05,0.05,10%
FY15,Africa,Mozambique,P146602,Mozambique Higher Education Science - Additional Financing,http://www.worldbank.org/projects/P146602?lang=en,"Menezes,Ana Ruth",IPF,Education,IBRD/IDA,45,0,0,45,100%
FY15,Africa,Niger,P132405,GPE - Support to Quality Education Project,http://www.worldbank.org/projects/P132405?lang=en,"Majgaard,Kirsten",IPF,Education,Recipient Executed Activities,0,0,84.2,84.2,100%
FY15,Africa,Nigeria,P133071,State Employment and Expenditure for Results Project,http://www.worldbank.org/projects/P133071?lang=en,"Deshpande,Atul Bhalchandra",Technical Assistance Loan,Governance,Recipient Executed Activities,0,0,14,14,14%
FY15,Africa,Nigeria,P143842,Nigeria Partnership for Education Project,http://www.worldbank.org/projects/P143842?lang=en,"Adekola,Olatunde Adetoyese",Specific Investment Loan,Education,Recipient Executed Activities,0,0,89,89,89%
FY15,Africa,Nigeria,P151480,Nigeria Edo State Fiscal Improvement and Service Delivery Operation,http://www.worldbank.org/projects/P151480?lang=en,"Joseph-Raji,Gloria Aitalohi",Development Policy Lending,Macro Economics & Fiscal Management,IBRD/IDA,15,0,0,15,20%
FY15,Africa,Senegal,P145585,Skills for jobs and competitiveness,http://www.worldbank.org/projects/P145585?lang=en,"Mulatu,Meskerem",IPF,Education,IBRD/IDA,35,0,0,35,100%
FY15,Africa,Sierra Leone,P133070,Revitalizing Education Development in Seirra Leone,http://www.worldbank.org/projects/P133070?lang=en,"Azzi-Huck,Kaliope",IPF,Education,Recipient Executed Activities,0,0,23.4,23.4,100%
FY15,Africa,Somalia,P148428,Somalia Recurrent Cost & Reform Financing Facility,http://www.worldbank.org/projects/P148428?lang=en,"Oyeyiola,Adenike Sherifat",IPF,Governance,Recipient Executed Activities,0,0,1.6,1.6,10%
FY15,Africa,Somalia,P152358,ICT Sector Support in Somalia Phase II,http://www.worldbank.org/projects/P152358?lang=en,"Kelly,Timothy John Charles",IPF,Transport & ICT,Recipient Executed Activities,0,0,2.8,2.8,20%
FY15,Africa,Somalia,P154875,Somalia Recurrent Cost & Reform Financing Project - Phase 2,http://www.worldbank.org/projects/P154875?lang=en,"Oyeyiola,Adenike Sherifat",IPF,Governance,Recipient Executed Activities,0,0,14.4,14.4,10%
FY15,Africa,South Sudan,P144139,Statistical Capacity Building Project,http://www.worldbank.org/projects/P144139?lang=en,"Pape,Utz Johann",IPF,Poverty and Equity,IBRD/IDA,0.18,0,0,0.18,2%
FY15,Africa,Tanzania,P147486,Big Results Now in Education Program,http://www.worldbank.org/projects/P147486?lang=en,"Joshi,Arun R.",P4R,Education,IBRD/IDA,122,0,0,122,100%
FY15,Africa,Tanzania,P149464,Science & Technology for Higher Education - Additional Financing,http://www.worldbank.org/projects/P149464?lang=en,"Jesse,Cornelia",IPF,Education,IBRD/IDA,15,0,0,15,100%
FY15,Africa,Togo,P146294,Education and Institutional Strengthening Project 2,http://www.worldbank.org/projects/P146294?lang=en,"Gbaye,Hyacinthe",IPF,Education,Recipient Executed Activities,0,0,27.8,27.8,100%
FY15,Africa,Uganda,P133780,Teacher and School Effectiveness Project,http://www.worldbank.org/projects/P133780?lang=en,"Mulindwa,Innocent",IPF,Education,Recipient Executed Activities,0,0,100,100,100%
